draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4664,1,725911,565103,0.0023700053,0.9673,0.43607,75368,130829,16176, 831,276084,70157,2302,154164,49745,110311,12961, 722,235408,50209,1801,103946,117677,67409,139598,47850,120790,59720,107135,69094,161469,103285,57624,128635,64399,113961,103285,161469,1,1,129334,69470,0.6506,0.6535,1,2,0,-0.1179
4664,2,729360,590802,0.0023700053,0.9673,0.07290,63555,183536, 5701,1490,255474,78897,2981,137726,43362,165313, 5098,1278,222860,55009,2423, 95459,149219,61437,167011,44797,155526,52312,137798,62633,204659, 93579,53109,158112,57465,146661, 93579,204659,1,1,162844,62954,0.7212,0.7238,1,2,0,-0.1179
4665,1,725344,564436,0.0031492416,0.9681,0.43884,75395,130977,16200, 829,275518,70084,2296,154045,49783,110316,12968, 722,234875,50149,1795,103828,117098,67163,139009,47649,120314,59551,106708,68912,160748,102925,57400,128051,64224,113509,102925,160748,1,1,128775,69238,0.6503,0.6533,1,2,0,-0.1179
4665,2,729927,591469,0.0031492416,0.9681,0.07294,63528,183388, 5677,1492,256040,78970,2987,137845,43324,165308, 5091,1278,223393,55069,2429, 95577,149798,61683,167599,44998,156002,52481,138226,62815,205380, 93939,53332,158696,57641,147113, 93939,205380,1,1,163402,63186,0.7211,0.7237,1,2,0,-0.1179
4666,1,730629,567751,0.0041140104,0.9601,0.35366,74730,122524,16151, 821,289467,74169,2218,150549,49351,102902,12922, 713,246244,52336,1732,101551,111828,63329,133001,44202,114859,55723,101503,65158,152546, 99005,53761,122413,60432,108180, 99005,152546,1,1,122747,65482,0.6521,0.6556,1,2,0,-0.1179
4666,2,724642,588154,0.0041140104,0.9601,0.07107,64193,191841, 5726,1500,242091,74885,3065,141341,43756,172722, 5137,1287,212024,52882,2492, 97854,155068,65517,173607,48445,161457,56309,143430,66569,213582, 97859,56972,164334,61433,152441, 97859,213582,1,1,169430,66942,0.7168,0.7190,1,2,0,-0.1179
4667,1,725546,567936,0.0028716301,0.9625,0.38194,73728,131719,14066, 789,276388,69538,2376,156942,48841,112459,11401, 680,236886,49883,1871,105915,124899,69046,147100,49516,128012,61623,113973,71167,171101,103602,59276,135998,66388,120992,103602,171101,1,1,137017,70990,0.6587,0.6611,1,2,0,-0.1179
4667,2,729725,587969,0.0028716301,0.9625,0.07177,65195,182646, 7811,1532,255170,79516,2907,134948,44266,163165, 6658,1320,221382,55335,2353, 93490,141997,59800,159509,43131,148304,50408,130960,60560,195028, 93262,51456,150750,55476,139630, 93262,195028,1,1,155160,61434,0.7164,0.7195,1,2,0,-0.1179
4668,1,724058,573680,0.0049166100,0.9577,0.30376,72103,123061,14076, 824,291546,69843,2292,150313,48651,107583,11651, 716,251080,50233,1810,101956,123458,67562,144582,48350,125400,59607,111497,68970,168880,102429,57952,134020,64282,118446,102429,168880,1,1,134763,69384,0.6601,0.6628,1,2,0,-0.1179
4668,2,731213,582225,0.0049166100,0.9577,0.06988,66820,191304, 7801,1497,240012,79211,2991,141577,44456,168041, 6408,1284,207188,54985,2414, 97449,143438,61284,162027,44297,150916,52424,133436,62757,197249, 94435,52780,152728,57582,142176, 94435,197249,1,1,157414,63040,0.7140,0.7169,1,2,0,-0.1179
4669,1,726836,571194,0.0010987644,0.9601,0.36533,73825,136519,14157, 806,274250,68912,2441,155926,49208,117518,11571, 697,235543,49568,1934,105155,126229,69165,148077,49879,129000,61732,114829,71250,172869,103481,59518,137151,66484,121913,103481,172869,1,1,138200,71101,0.6603,0.6626,1,2,0,-0.1179
